id,kode_provinsi,nama_provinsi,golongan_darah,jenis_kelamin,jumlah_penduduk,satuan,tahun
1,32,JAWA BARAT,A,LAKI-LAKI,784328,JIWA,2013
2,32,JAWA BARAT,A,PEREMPUAN,765697,JIWA,2013
3,32,JAWA BARAT,B,LAKI-LAKI,635482,JIWA,2013
4,32,JAWA BARAT,B,PEREMPUAN,646517,JIWA,2013
5,32,JAWA BARAT,AB,LAKI-LAKI,322718,JIWA,2013
6,32,JAWA BARAT,AB,PEREMPUAN,294059,JIWA,2013
7,32,JAWA BARAT,O,LAKI-LAKI,1209180,JIWA,2013
8,32,JAWA BARAT,O,PEREMPUAN,1061898,JIWA,2013
9,32,JAWA BARAT,A+,LAKI-LAKI,316172,JIWA,2013
10,32,JAWA BARAT,A+,PEREMPUAN,279551,JIWA,2013
11,32,JAWA BARAT,A-,LAKI-LAKI,28524,JIWA,2013
12,32,JAWA BARAT,A-,PEREMPUAN,29004,JIWA,2013
13,32,JAWA BARAT,B+,LAKI-LAKI,10934,JIWA,2013
14,32,JAWA BARAT,B+,PEREMPUAN,12591,JIWA,2013
15,32,JAWA BARAT,B-,LAKI-LAKI,1346,JIWA,2013
16,32,JAWA BARAT,B-,PEREMPUAN,1326,JIWA,2013
17,32,JAWA BARAT,AB+,LAKI-LAKI,7419,JIWA,2013
18,32,JAWA BARAT,AB+,PEREMPUAN,7697,JIWA,2013
19,32,JAWA BARAT,AB-,LAKI-LAKI,3406,JIWA,2013
20,32,JAWA BARAT,AB-,PEREMPUAN,3294,JIWA,2013
21,32,JAWA BARAT,O+,LAKI-LAKI,17702,JIWA,2013
22,32,JAWA BARAT,O+,PEREMPUAN,17415,JIWA,2013
23,32,JAWA BARAT,O-,LAKI-LAKI,25175,JIWA,2013
24,32,JAWA BARAT,O-,PEREMPUAN,23952,JIWA,2013
25,32,JAWA BARAT,TIDAK TAHU,LAKI-LAKI,18264526,JIWA,2013
26,32,JAWA BARAT,TIDAK TAHU,PEREMPUAN,17453571,JIWA,2013
27,32,JAWA BARAT,A,LAKI-LAKI,713639,JIWA,2014
28,32,JAWA BARAT,A,PEREMPUAN,688243,JIWA,2014
29,32,JAWA BARAT,B,LAKI-LAKI,543522,JIWA,2014
30,32,JAWA BARAT,B,PEREMPUAN,544070,JIWA,2014
31,32,JAWA BARAT,AB,LAKI-LAKI,272292,JIWA,2014
32,32,JAWA BARAT,AB,PEREMPUAN,246634,JIWA,2014
33,32,JAWA BARAT,O,LAKI-LAKI,1008909,JIWA,2014
34,32,JAWA BARAT,O,PEREMPUAN,878385,JIWA,2014
35,32,JAWA BARAT,A+,LAKI-LAKI,238112,JIWA,2014
36,32,JAWA BARAT,A+,PEREMPUAN,197488,JIWA,2014
37,32,JAWA BARAT,A-,LAKI-LAKI,18930,JIWA,2014
38,32,JAWA BARAT,A-,PEREMPUAN,19232,JIWA,2014
39,32,JAWA BARAT,B+,LAKI-LAKI,7472,JIWA,2014
40,32,JAWA BARAT,B+,PEREMPUAN,8479,JIWA,2014
41,32,JAWA BARAT,B-,LAKI-LAKI,1249,JIWA,2014
42,32,JAWA BARAT,B-,PEREMPUAN,1289,JIWA,2014
43,32,JAWA BARAT,AB+,LAKI-LAKI,5321,JIWA,2014
44,32,JAWA BARAT,AB+,PEREMPUAN,5355,JIWA,2014
45,32,JAWA BARAT,AB-,LAKI-LAKI,3659,JIWA,2014
46,32,JAWA BARAT,AB-,PEREMPUAN,3547,JIWA,2014
47,32,JAWA BARAT,O+,LAKI-LAKI,13748,JIWA,2014
48,32,JAWA BARAT,O+,PEREMPUAN,13357,JIWA,2014
49,32,JAWA BARAT,O-,LAKI-LAKI,26772,JIWA,2014
50,32,JAWA BARAT,O-,PEREMPUAN,25735,JIWA,2014
51,32,JAWA BARAT,TIDAK TAHU,LAKI-LAKI,18935275,JIWA,2014
52,32,JAWA BARAT,TIDAK TAHU,PEREMPUAN,18009710,JIWA,2014
53,32,JAWA BARAT,A,LAKI-LAKI,720382,JIWA,2015
54,32,JAWA BARAT,A,PEREMPUAN,705884,JIWA,2015
55,32,JAWA BARAT,B,LAKI-LAKI,514551,JIWA,2015
56,32,JAWA BARAT,B,PEREMPUAN,523558,JIWA,2015
57,32,JAWA BARAT,AB,LAKI-LAKI,259340,JIWA,2015
58,32,JAWA BARAT,AB,PEREMPUAN,238410,JIWA,2015
59,32,JAWA BARAT,O,LAKI-LAKI,949389,JIWA,2015
60,32,JAWA BARAT,O,PEREMPUAN,840643,JIWA,2015
61,32,JAWA BARAT,A+,LAKI-LAKI,287755,JIWA,2015
62,32,JAWA BARAT,A+,PEREMPUAN,255937,JIWA,2015
63,32,JAWA BARAT,A-,LAKI-LAKI,15586,JIWA,2015
64,32,JAWA BARAT,A-,PEREMPUAN,16333,JIWA,2015
65,32,JAWA BARAT,B+,LAKI-LAKI,7361,JIWA,2015
66,32,JAWA BARAT,B+,PEREMPUAN,8403,JIWA,2015
67,32,JAWA BARAT,B-,LAKI-LAKI,1205,JIWA,2015
68,32,JAWA BARAT,B-,PEREMPUAN,1258,JIWA,2015
69,32,JAWA BARAT,AB+,LAKI-LAKI,5029,JIWA,2015
70,32,JAWA BARAT,AB+,PEREMPUAN,5169,JIWA,2015
71,32,JAWA BARAT,AB-,LAKI-LAKI,3697,JIWA,2015
72,32,JAWA BARAT,AB-,PEREMPUAN,3625,JIWA,2015
73,32,JAWA BARAT,O+,LAKI-LAKI,13415,JIWA,2015
74,32,JAWA BARAT,O+,PEREMPUAN,13063,JIWA,2015
75,32,JAWA BARAT,O-,LAKI-LAKI,28702,JIWA,2015
76,32,JAWA BARAT,O-,PEREMPUAN,27718,JIWA,2015
77,32,JAWA BARAT,TIDAK TAHU,LAKI-LAKI,19169859,JIWA,2015
78,32,JAWA BARAT,TIDAK TAHU,PEREMPUAN,18579416,JIWA,2015
79,32,JAWA BARAT,A,LAKI-LAKI,704547,JIWA,2016
80,32,JAWA BARAT,A,PEREMPUAN,695420,JIWA,2016
81,32,JAWA BARAT,B,LAKI-LAKI,545216,JIWA,2016
82,32,JAWA BARAT,B,PEREMPUAN,559326,JIWA,2016
83,32,JAWA BARAT,AB,LAKI-LAKI,270705,JIWA,2016
84,32,JAWA BARAT,AB,PEREMPUAN,249746,JIWA,2016
85,32,JAWA BARAT,O,LAKI-LAKI,1020749,JIWA,2016
86,32,JAWA BARAT,O,PEREMPUAN,906121,JIWA,2016
87,32,JAWA BARAT,A+,LAKI-LAKI,146801,JIWA,2016
88,32,JAWA BARAT,A+,PEREMPUAN,123478,JIWA,2016
89,32,JAWA BARAT,A-,LAKI-LAKI,10455,JIWA,2016
90,32,JAWA BARAT,A-,PEREMPUAN,11324,JIWA,2016
91,32,JAWA BARAT,B+,LAKI-LAKI,8691,JIWA,2016
92,32,JAWA BARAT,B+,PEREMPUAN,10023,JIWA,2016
93,32,JAWA BARAT,B-,LAKI-LAKI,1301,JIWA,2016
94,32,JAWA BARAT,B-,PEREMPUAN,1325,JIWA,2016
95,32,JAWA BARAT,AB+,LAKI-LAKI,5591,JIWA,2016
96,32,JAWA BARAT,AB+,PEREMPUAN,5817,JIWA,2016
97,32,JAWA BARAT,AB-,LAKI-LAKI,3689,JIWA,2016
98,32,JAWA BARAT,AB-,PEREMPUAN,3673,JIWA,2016
99,32,JAWA BARAT,O+,LAKI-LAKI,13829,JIWA,2016
100,32,JAWA BARAT,O+,PEREMPUAN,13719,JIWA,2016
101,32,JAWA BARAT,O-,LAKI-LAKI,28378,JIWA,2016
102,32,JAWA BARAT,O-,PEREMPUAN,27668,JIWA,2016
103,32,JAWA BARAT,TIDAK TAHU,LAKI-LAKI,19515738,JIWA,2016
104,32,JAWA BARAT,TIDAK TAHU,PEREMPUAN,18856829,JIWA,2016
105,32,JAWA BARAT,A,LAKI-LAKI,705328,JIWA,2017
106,32,JAWA BARAT,A,PEREMPUAN,701960,JIWA,2017
107,32,JAWA BARAT,B,LAKI-LAKI,548454,JIWA,2017
108,32,JAWA BARAT,B,PEREMPUAN,566456,JIWA,2017
109,32,JAWA BARAT,AB,LAKI-LAKI,271570,JIWA,2017
110,32,JAWA BARAT,AB,PEREMPUAN,252744,JIWA,2017
111,32,JAWA BARAT,O,LAKI-LAKI,1028028,JIWA,2017
112,32,JAWA BARAT,O,PEREMPUAN,918769,JIWA,2017
113,32,JAWA BARAT,A+,LAKI-LAKI,135195,JIWA,2017
114,32,JAWA BARAT,A+,PEREMPUAN,113692,JIWA,2017
115,32,JAWA BARAT,A-,LAKI-LAKI,9365,JIWA,2017
